AccountNumber,Name,LegacyFocalPointUser,LegacyOrgUnit,SuggestedFocalPoint,SuggestedOrgUnit
1109,SDC Swiss Agency for Development and Cooperation,Louise Jocelyn LEECH,"DP, PLG, Partnerships and Liaison Group",,"DP, PLG, Partnerships and Liaison Group"
1142,Switzerland,Louise Jocelyn LEECH,"DP, PLG, Partnerships and Liaison Group",,"DP, PLG, Partnerships and Liaison Group"
1876,Clinton Health Access Initiative,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1877,Instituto Costarricense de Ferrocarriles,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1878,Comisión Nacional de Prevención de Riesgos y Atención de Emergencias,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1879,Global Alliance for a Sustainable Planet,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1880,Fund for Reconstruction and Development of the Republic of Uzbekistan,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1881,The Climate and Society Institute (ICS),Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1882,Plan International Liberia,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1883,Minderoo Foundation,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1885,Global Climate Action Partnership (GCAP) Multi-Donor Fund,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1886,International Medical Corps UK,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1887,Sergey Brin Family Foundation,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1888,International Medical Corps US,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1889,Global Institute For Disease Elimination,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1890,Empresa Publica Metropolitana de Movilidad y Obras Publicas,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1891,Kharkiv City Council,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1892,CPP - Companhia Paulista de Parcerias,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1893,The Forest and Climate Leaders’ Partnership,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1894,Baylor College of Medicine Children’s Foundation Eswatini,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1895,Rockefeller Brothers Fund,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1896,NATO North Atlantic Treaty Organisation,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1897,PSI Population Services International Madagascar,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1899,Swaniti Initiative,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1900,CONAB Companhia Nacional de Abastecimento,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1901,Plan International Mali,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1920,APRA Accelerated Partnerships for Renewables in Africa,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1921,DRC Danish Refugee Council,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1922,ZESCO Limited,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1923,RF Catalytic Capital,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1924,Fuel Distribution Gaza,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1925,West African Development Bank,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1926,ANSES Agencia Nacional de la Seguridad Social,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1927,IGSS Instituto Guatemalteco de la Seguridad Social,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1928,The Energy Foundation,Isabela FRAIZ SOMOZA,"DP, PLG, Partnerships and Liaison Group",,
1929,Sow & Reap Agro Private Limited,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1930,Loughborough University,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1931,SED Fund,Isabela FRAIZ SOMOZA,,,
1932,Federación Red NicaSalud,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1933,Nehemia Christliches Hilfswerk e. V.,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1934,"The Regents of the University of California, on behalf of its Davis campus (UC Davis)",Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1935,UNDP Multi-Partner Trust Fund Office,Michael RIXON,"DP, PLG, Partnerships and Liaison Group",,
1936,Caixa Econômica Federal,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1937,Stellenbosh University,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1938,EIF-3 Enhanced Integrated Framework Phase 3,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
1939,Google LLC,Jose Ignacio MONZON EGANA,"GPO, NYPO, UN Technology Support Services",,
